Order_ID,Order_Date,Customer,Product,Category,Region,Quantity,Unit_Price,Sales,Profit
ORD-0063,2025-11-14,Pooja Verma,Printer,Electronics,South,2,153.08,306.16,71.27
ORD-0064,2025-01-13,Priya Reddy,Desk,Furniture,South,5,236.23,1181.15,165.16
ORD-0065,2025-10-22,Ananya Rao,Laptop,Electronics,West,2,644.2,1288.4,357.18
ORD-0066,2025-12-19,Pooja Verma,Mouse,Electronics,West,8,24.5,196.0,25.38
ORD-0067,2025-09-23,Priya Reddy,Laptop,Electronics,West,4,607.87,2431.48,709.0
ORD-0068,2025-12-08,Aarav Sharma,Printer,Electronics,South,2,158.61,317.22,82.57
ORD-0069,2025-09-16,Arjun Mehta,Headset,Electronics,East,8,56.24,449.92,109.72
ORD-0070,2025-05-13,Arjun Mehta,Notebook,Office Supplies,West,3,8.39,25.17,4.91
ORD-0071,2025-02-09,Rohan Das,Mouse,Electronics,East,8,25.63,205.04,31.76
ORD-0072,2025-03-12,Ananya Rao,Office Chair,Furniture,East,6,173.51,1041.06,216.57
ORD-0073,2025-07-28,Ananya Rao,Keyboard,Electronics,West,3,46.86,140.58,15.86
ORD-0074,2025-07-19,Arjun Mehta,Desk,Furniture,West,7,228.11,1596.77,425.66
ORD-0075,2025-06-02,Pooja Verma,Backpack,Accessories,North,7,39.82,278.74,80.43
ORD-0076,2025-01-15,Kiran Reddy,Notebook,Office Supplies,South,8,7.55,60.4,11.3
ORD-0077,2025-11-15,Sneha Patel,Notebook,Office Supplies,West,3,8.54,25.62,7.27
ORD-0078,2025-08-25,Aarav Sharma,Headset,Electronics,West,1,50.42,50.42,9.36
ORD-0079,2025-06-22,Aarav Sharma,Keyboard,Electronics,East,7,43.45,304.15,58.07
ORD-0080,2025-10-04,Vikram Singh,Notebook,Office Supplies,West,5,8.54,42.7,8.29
ORD-0081,2025-01-16,Sneha Patel,Laptop,Electronics,South,2,686.56,1373.12,316.3
ORD-0082,2025-02-28,Ananya Rao,Mouse,Electronics,North,3,23.69,71.07,13.84
ORD-0083,2025-11-07,Ananya Rao,Backpack,Accessories,West,5,42.14,210.7,28.14
ORD-0084,2025-10-22,Rahul Kumar,Monitor,Electronics,East,2,223.46,446.92,127.72
ORD-0085,2025-05-05,Kiran Reddy,Notebook,Office Supplies,South,2,8.15,16.3,4.34
ORD-0086,2025-01-22,Pooja Verma,Monitor,Electronics,East,2,233.03,466.06,99.36
ORD-0087,2025-01-07,Arjun Mehta,Desk,Furniture,West,6,228.45,1370.7,314.59
ORD-0088,2025-08-24,Neha Gupta,Notebook,Office Supplies,North,7,8.74,61.18,13.9
ORD-0089,2025-09-05,Kiran Reddy,Keyboard,Electronics,South,5,46.04,230.2,65.36
ORD-0090,2025-02-14,Kiran Reddy,Printer,Electronics,East,6,171.25,1027.5,273.47
ORD-0091,2025-06-22,Neha Gupta,Office Chair,Furniture,South,8,182.51,1460.08,341.13
ORD-0092,2025-05-13,Neha Gupta,Laptop,Electronics,East,3,648.38,1945.14,332.55
ORD-0093,2025-05-04,Vikram Singh,Desk,Furniture,East,1,250.83,250.83,34.67
ORD-0094,2025-01-09,Neha Gupta,Notebook,Office Supplies,South,8,8.23,65.84,13.05
ORD-0095,2025-10-25,Vikram Singh,Monitor,Electronics,South,7,228.44,1599.08,257.84
ORD-0096,2025-06-30,Neha Gupta,Desk,Furniture,East,7,274.83,1923.81,404.15
ORD-0097,2025-06-11,Vikram Singh,Printer,Electronics,East,5,151.38,756.9,184.88
ORD-0098,2025-10-29,Pooja Verma,Monitor,Electronics,South,4,207.52,830.08,163.39
ORD-0099,2025-07-04,Divya Nair,Headset,Electronics,East,2,58.66,117.32,18.68
ORD-0100,2025-10-11,Vikram Singh,Keyboard,Electronics,North,3,42.97,128.91,38.01
